   n  timestamp       rr   bpm
 630          421136   550 109
 631          421687   554 108
 632          422241   555 108
 633          422797   555 108
 634          423352   563 107
 635          423916   561 107
 636          424478   563 107
 637          425041   565 106
 638          425607   575 104
 639          426182   577 104
 640          426760   595 101
 641          427355   596 101
 642          427952   599 100
 643          428552   601 100
 644          429153   592 101
 645          429746   592 101
 646          430338   587 102
 647          430926   592 101
 648          431519   593 101
 649          432112   583 103
 650          432696   604  99
 651          433300   567 106
 652          433868   556 108
 653          434424   549 109
 654          434974   543 110
 655          435517   533 113
 656          436051   529 113
 657          436581   529 113
 658          437110   530 113
 659          437641   527 114
 660          438168   524 115
 661          438693   525 114
 662          439218   532 113
 663          439751   527 114
 664          440278   526 114
 665          440805   528 114
 666          441333   532 113
 667          441866   522 115
 668          442388   526 114
 669          442915   526 114
 670          443441   533 113
 671          443975   532 113
 672          444507   537 112
 673          445045   548 109
 674          445594   548 109
 675          446142   544 110
 676          446687   551 109
 677          447238   546 110
 678          447785   546 110
 679          448331   540 111
 680          448872   543 110
 681          449415   538 112
 682          449954   536 112
 683          450490   536 112
 684          451027   537 112
 685          451565   552 109
 686          452117   577 104
 687          452695   561 107
 688          453256   555 108
 689          453812   563 107
 690          454375   567 106
 691          454943   563 107
 692          455506   563 107
 693          456070   568 106
 694          456639   559 107
 695          457198   553 108
 696          457752   561 107
 697          458313   548 109
 698          458862   551 109
 699          459413   539 111
 700          459953   535 112
 701          460488   530 113
 702          461019   524 115
 703          461543   522 115
 704          462066   519 116
 705          462585   530 113
 706          463116   539 111
 707          463656   547 110
 708          464203   545 110
 709          464749   567 106
 710          465316   564 106
 711          465881   574 105
 712          466455   583 103
 713          467039   587 102
 714          467627   579 104
 715          468206   578 104
 716          468785   586 102
 717          469371   579 104
 718          469951   576 104
 719          470527   582 103
 720          471110   582 103
 721          471693   581 103
 722          472274   566 106
 723          472841   563 107
 724          473404   562 107
 725          473967   561 107
 726          474528   571 105
 727          475100   562 107
 728          475663   564 106
 729          476227   575 104
 730          476803   568 106
 731          477371   566 106
 732          477938   577 104
 733          478515   581 103
 734          479097   576 104
 735          479674   590 102
 736          480264   601 100
 737          480866   606  99
 738          481472   604  99
 739          482077   615  98
 740          482693   610  98
 741          483303   606  99
 742          483910   615  98
 743          484525   619  97
 744          485145   600 100
 745          485746   605  99
 746          486351   605  99
 747          486957   601 100
 748          487558   594 101
 749          488153   593 101
 750          488747   594 101
 751          489341   576 104
 752          489918   574 105
 753          490492   580 103
 754          491073   580 103
 755          491654   574 105
 756          492228   582 103
 757          492811   595 101
 758          493406   593 101
 759          494000   590 102
 760          494591   611  98
 761          495202   621  97
 762          495824   618  97
 763          496442   618  97
 764          497061   620  97
 765          497682   618  97
 766          498300   609  99
 767          498910   629  95
 768          499539   642  93
 769          500182   641  94
 770          500824   646  93
 771          501470   678  88
 772          502149   687  87
 773          502837   657  91
 774          503494   672  89
 775          504167   721  83
 776          504889   742  81
 777          505632   725  83
 778          506357   722  83
 779          507080   757  79
 780          507838   794  76
 781          508633   729  82
 782          509362   717  84
 783          510080   813  74
 784          510894   851  71
 785          511746   840  71
 786          512587   900  67
 787          513488   927  65
 788          514416   845  71
 789          515261   786  76
 790          516048   784  77
 791          516833   782  77
 792          517616   732  82
 793          518348   763  79
 794          519112   904  66
 795          520017   894  67
 796          520912   802  75
 797          521715   854  70
 798          522570   833  72
 799          523403   790  76
 800          524194   758  79
 801          524953   811  74
 802          525765   838  72
 803          526604   807  74
 804          527411   813  74
 805          528225   793  76
 806          529019   790  76
 807          529810   737  81
 808          530548   785  76
 809          531333   820  73
 810          532154   779  77
 811          532934   766  78
 812          533701   818  73
 813          534520   813  74
 814          535333   770  78
 815          536104   782  77
 816          536887   813  74
 817          537701   826  73
 818          538528   800  75
 819          539328   859  70
 820          540188   885  68
 821          541074   844  71
 822          541919   798  75
 823          542718   817  73
 824          543536   860  70
 825          544396   855  70
 826          545252   848  71
 827          546101   934  64
 828          547036   869  69
 829          547906   805  75
 830          548712   843  71
 831          549556   827  73
 832          550383   813  74
 833          551197   788  76
 834          551986   837  72
 835          552824   840  71
 836          553665   796  75
 837          554461   838  72
 838          555300   874  69
 839          556175   851  71
 840          557027   854  70
 841          557882   897  67
 842          558780   886  68
 843          559667   819  73
 844          560486   839  72
 845          561326   832  72
 846          562159   823  73
 847          562983   826  73
 848          563810   878  68
 849          564689   949  63
 850          565639   851  71
 851          566490   836  72
 852          567327   852  70
 853          568180   844  71
 854          569025   782  77
 855          569808   810  74
 856          570619   865  69
 857          571484   875  69
 858          572360   821  73
 859          573182   874  69
 860          574057   877  68
 861          574935   830  72
 862          575766   829  72
 863          576596   839  72
 864          577435   818  73
 865          578254   798  75
 866          579053   834  72
 867          579888   847  71
 868          580736   825  73
 869          581561   845  71
 870          582407   866  69
 871          583274   821  73
 872          584096   803  75
 873          584900   835  72
 874          585736   850  71
 875          586719   921  65
 876          587641   929  65
 877          588570   886  68
 878          589457   839  72
 879          590297   853  70
 880          591151   845  71
 881          592025   819  73
 882          592845   874  69
 883          593720   911  66
 884          594631   864  69
 885          595496   835  72
 886          596332   855  70
 887          597188   895  67
 888          598084   808  74
 889          598893   846  71
 890          599739   847  71
 891          600587   844  71
 892          601432   813  74
 893          602246   884  68
 894          603131   872  69
 895          604004   813  74
 896          604817   814  74
 897          605632   824  73
 898          606457   794  76
 899          607252   796  75
 900          608049   852  70
 901          609550   853  70
 902          610403   812  74
 903          611216   831  72
 904          612048   840  71
 905          612889   790  76
 906          613680   777  77
 907          614457   777  77
 908          615235   801  75
 909          616037   777  77
 910          616815   807  74
 911          617623   808  74
 912          618431   793  76
 913          619225   782  77
 914          620008   791  76
 915          620800   774  78
 916          621575   766  78
 917          622341   783  77
 918          623125   796  75
 919          623922   811  74
 920          624734   792  76
 921          625526   798  75
 922          626325   783  77
 923          627109   757  79
 924          627867   766  78
 925          628634   801  75
 926          629435   786  76
 927          630222   800  75
 928          631023   804  75
 929          631828   794  76
 930          632623   775  77
 931          633398   768  78
 932          634167   775  77
 933          634943   795  75
 934          635739   795  75
 935          636534   821  73
 936          637356   816  74
 937          638173   779  77
 938          638953   799  75
 939          640165   816  74
 940          640982   797  75
 941          641779   777  77
 942          642557   788  76
 943          643346   782  77
 944          644129   755  79
 945          644884   773  78
 946          645658   786  76
 947          646445   757  79
 948          647203   749  80
 949          647952   757  79
 950          648710   764  79
 951          649475   760  79
 952          650236   771  78
 953          651008   792  76
 954          651800   766  78
 955          652567   750  80
 956          653318   770  78
 957          654245   771  78
 958          655016   755  79
 959          656250   762  79
 960          657013   790  76
 961          657804   765  78
 962          658569   745  81
 963          659315   755  79
 964          660071   746  80
 965          660818   753  80
 966          661571   744  81
 967          662316   786  76
 968          663103   781  77
 969          663885   768  78
 970          664653   769  78
 971          665423   760  79
 972          666184   764  79
 973          666949   756  79
 974          667705   768  78
 975          668474   778  77
 976          669253   744  81
 977          669998   713  84
 978          670711   689  87
 979          671401   668  90
 980          672070   650  92
 981          672720   645  93
 982          673366   641  94
 983          674008   642  93
 984          674650   667  90
 985          675318   701  86
 986          676020   689  87
 987          676709   669  90
 988          677379   651  92
 989          678031   665  90
 990          678696   703  85
 991          679400   684  88
 992          680085   675  89
 993          680760   670  90
 994          681431   666  90
 995          682098   663  90
 996          682761   671  89
 997          683433   677  89
 998          684111   702  85
 999          684814   750  80
1000          685564   754  80
1001          686319   761  79
1002          687081   798  75
1003          687880   800  75
1004          688680   787  76
1005          689468   760  79
1006          690229   765  78
1007          690995   763  79
1008          691758   745  81
1009          692504   742  81
1010          693247   740  81
1011          693988   734  82
1012          694722   716  84
1013          695439   743  81
1014          696183   753  80
1015          696937   758  79
1016          697695   733  82
1017          698429   763  79
1018          699193   752  80
1019          699946   723  83
1020          700669   708  85
1021          701378   692  87
1022          702071   665  90
1023          702736   651  92
1024          703388   662  91
1025          704051   674  89
1026          704725   676  89
1027          705402   689  87
1028          706092   695  86
1029          706787   706  85
1030          707494   723  83
1031          708218   739  81
1032          708958   727  83
1033          709685   726  83
1034          710412   716  84
1035          711129   714  84
1036          711843   709  85
1037          712553   726  83
1038          713280   814  74
1039          714095   854  70
1040          714950   783  77
1041          715733   789  76
1042          716523   798  75
1043          717322   805  75
1044          718128   773  78
1045          718902   788  76
1046          719690   787  76
1047          720478   766  78
1048          721245   783  77
1049          722029   802  75
1050          722832   785  76
1051          723617   788  76
1052          724406   854  70
1053          725261   837  72
1054          726099   787  76
1055          726887   784  77
1056          727671   771  78
1057          728443   767  78
1058          729211   761  79
1059          729973   777  77
1060          730750   788  76
1061          731539   767  78
1062          732307   765  78
1063          733073   795  75
1064          733869   794  76
1065          734663   735  82
1066          735399   708  85
1067          736108   705  85
1068          736813   724  83
1069          737538   735  82
1070          738274   765  78
1071          739040   804  75
1072          739844   781  77
1073          740626   781  77
1074          741408   791  76
1075          742200   769  78
1076          742970   736  82
1077          743706   729  82
1078          744436   713  84
1079          745150   687  87
1080          745837   681  88
1081          746519   685  88
1082          747205   659  91
1083          747864   653  92
1084          748518   649  92
1085          749168   650  92
1086          749818   642  93
1087          750461   632  95
1088          751094   627  96
1089          751721   772  78
1090          752494   826  73
1091          753321   812  74
1092          754134   812  74
1093          754947   822  73
1094          755769   817  73
1095          756587   799  75
1096          757387   800  75
1097          758188   809  74
1098          758998   775  77
1099          759773   799  75
1100          760573   869  69
1101          761443   888  68
1102          762332   886  68
1103          763219   910  66
1104          764130   932  64
1105          765063   847  71
1106          765911   888  68
1107          766799   866  69
1108          767666   793  76
1109          768460   765  78
1110          769226   785  76
1111          770012   832  72
1112          770844   851  71
1113          771696   801  75
1114          772498   839  72
1115          773338   840  71
1116          774179   850  71
1117          775030   792  76
1118          775822   802  75
1119          776625   828  72
1120          777454   826  73
1121          778281   792  76
1122          779074   829  72
1123          779903   851  71
1124          780755   853  70
1125          781609   818  73
1126          782428   877  68
1127          783306   881  68
1128          784188   828  72
1129          785017   791  76
1130          785808   814  74
1131          786623   829  72
1132          787453   792  76
1133          788246   826  73
1134          789073   850  71
1135          789923   837  72
1136          790761   781  77
1137          791543   806  74
1138          792350   852  70
1139          793203   876  68
1140          794080   835  72
1141          794915   864  69
1142          795780   861  70
1143          796642   824  73
1144          797467   831  72
1145          798299   860  70
1146          799160   868  69
1147          800029   825  73
1148          800854   865  69
1149          801720   874  69
1150          802595   862  70
1151          803458   798  75
1152          804257   813  74
1153          805071   806  74
1154          805877   767  78
1155          806645   763  79
1156          807409   802  75
1157          808212   839  72
1158          809052   809  74
1159          809861   854  70
1160          810716   862  70
1161          811579   814  74
1162          812394   815  74
1163          813210   791  76
1164          814001   751  80
1165          814753   730  82
1166          815484   727  83
1167          816212   706  85
1168          816918   682  88
1169          817601   681  88
1170          818283   701  86
1171          818984   745  81
1172          819730   777  77
1173          820508   778  77
1174          821287   802  75
1175          822090   816  74
1176          822906   788  76
1177          823695   772  78
1178          824468   786  76
1179          825255   773  78
1180          826028   767  78
1181          826796   779  77
1182          827576   813  74
1183          828390   831  72
1184          829222   787  76
1185          830009   795  75
1186          830805   793  76
1187          831599   783  77
1188          832383   765  78
1189          833149   787  76
1190          833936   803  75
1191          834740   810  74
1192          835551   799  75
1193          836351   818  73
1194          837170   839  72
1195          838009   788  76
1196          838798   793  76
1197          839592   821  73
1198          840414   781  77
1199          841196   768  78
1200          841964   782  77
1201          842747   801  75
1202          843549   790  76
1203          844340   798  75
1204          845139   834  72
1205          845973   819  73
1206          846793   789  76
1207          847583   798  75
1208          848382   813  74
1209          849196   790  76
1210          849986   781  77
1211          850768   793  76
1212          851562   791  76
1213          852354   787  76
1214          853142   798  75
1215          853940   816  74
1216          854757   787  76
1217          855545   792  76
1218          856338   828  72
1219          857167   819  73
1220          857986   789  76
1221          858776   787  76
1222          859564   786  76
1223          860351   747  80
1224          861098   735  82
1225          861834   751  80
1226          862586   787  76
1227          863374   796  75
1228          864170   770  78
1229          864941   775  77
1230          865717   785  76
1231          866503   782  77
1232          867286   766  78
1233          868052   766  78
1234          868819   765  78
1235          869585   759  79
1236          870345   752  80
1237          871097   781  77
1238          871879   834  72
1239          872714   803  75
1240          873518   766  78
1241          874285   776  77
1242          875061   765  78
1243          875827   751  80
1244          876579   746  80
1245          877326   772  78
1246          878098   801  75
1247          878900   774  78
1248          879675   771  78
1249          880447   773  78
1250          881220   767  78
1251          881988   735  82
1252          882724   748  80
1253          883473   763  79
1254          884236   748  80
1255          884985   747  80
1256          885733   763  79
1257          886497   778  77
1258          887276   755  79
1259          888031   764  79
1260          888796   776  77
1261          889573   776  77
1262          890350   760  79
1263          891110   764  79
1264          891875   775  77
1265          892651   765  78
1266          893417   756  79
1267          894173   752  80
1268          894926   766  78
1269          895693   772  78
1270          896466   770  78
1271          897236   786  76
1272          898023   786  76
1273          898810   775  77
1274          899586   759  79
1275          900346   771  78
1276          901117   771  78
1277          901889   756  79
1278          902646   771  78
1279          903418   786  76
1280          904204   795  75
1281          905000   774  78
1282          905775   791  76
1283          906567   798  75
1284          907366   758  79
1285          908124   745  81
1286          908870   755  79
1287          909626   771  78
1288          910398   770  78
1289          911168   766  78
1290          911935   770  78
1291          912706   762  79
1292          913469   744  81
1293          914213   761  79
1294          914975   774  78
1295          915750   759  79
1296          916510   748  80
1297          917258   769  78
1298          918028   784  77
1299          918813   768  78
1300          919582   777  77
1301          920360   782  77
1302          921142   779  77
1303          921922   753  80
1304          922676   773  78
1305          923450   776  77
1306          924226   763  79
1307          924990   752  80
1308          925743   768  78
1309          926512   762  79
1310          927274   738  81
1311          928013   715  84
1312          928729   716  84
1313          929446   733  82
1314          930179   727  83
1315          930907   733  82
1316          931641   765  78
1317          932407   775  77
1318          933182   753  80
1319          933936   750  80
1320          934687   747  80
1321          935435   719  83
1322          936154   696  86
1323          936851   690  87
1324          937542   702  85
1325          938244   714  84
1326          938959   716  84
1327          939676   721  83
1328          940398   745  81
1329          941143   799  75
1330          941943   778  77
1331          942722   780  77
1332          943503   818  73
1333          944321   805  75
1334          945127   785  76
1335          945913   779  77
1336          946693   783  77
1337          947477   757  79
1338          948234   729  82
1339          948964   714  84
1340          949679   721  83
1341          950400   716  84
1342          951117   720  83
1343          951838   781  77
1344          952620   884  68
1345          953505   841  71
1346          954347   877  68
1347          955224   873  69
1348          956098   829  72
1349          956928   827  73
1350          957756   819  73
1351          958576   813  74
1352          959389   773  78
1353          960163   796  75
1354          960960   802  75
1355          961763   787  76
1356          962551   779  77
1357          963330   820  73
1358          964151   844  71
1359          964996   799  75
1360          965796   802  75
1361          966599   826  73
1362          967426   809  74
1363          968235   799  75
1364          969035   799  75
1365          969835   796  75
1366          970632   771  78
1367          971403   766  78
1368          972170   784  77
1369          972955   784  77
1370          973740   753  80
1371          974494   741  81
1372          975235   766  78
1373          976002   752  80
1374          976755   718  84
1375          977473   726  83
1376          978200   751  80
1377          978952   752  80
1378          979705   758  79
1379          980463   765  78
1380          981229   794  76
1381          982024   780  77
1382          982805   770  78
1383          983576   760  79
1384          984336   754  80
1385          985091   740  81
1386          985832   765  78
1387          986598   807  74
1388          987405   799  75
1389          988205   783  77
1390          988989   829  72
1391          989819   848  71
1392          990668   827  73
1393          991496   838  72
1394          992334   836  72
1395          993171   778  77
